UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10007154	University of Nottingham	Both teaching and research	Other contract level	Other	2019/20	Contract salary ≥ £61,618	0	Band_6
10007154	University of Nottingham	Both teaching and research	Other contract level	Other	2019/20	Total	0	NA
10007154	University of Nottingham	Both teaching and research	Professor	Other	2019/20	Contract salary < £19,202	0	Band_1
10007154	University of Nottingham	Both teaching and research	Professor	Other	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007154	University of Nottingham	Both teaching and research	Professor	Other	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007154	University of Nottingham	Both teaching and research	Professor	Other	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007154	University of Nottingham	Both teaching and research	Professor	Other	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007154	University of Nottingham	Both teaching and research	Professor	Other	2019/20	Contract salary ≥ £61,618	0	Band_6
10007154	University of Nottingham	Both teaching and research	Professor	Other	2019/20	Total	0	NA
10007154	University of Nottingham	Research only	All	Other	2019/20	Contract salary < £19,202	0	Band_1
10007154	University of Nottingham	Research only	All	Other	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007154	University of Nottingham	Research only	All	Other	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007154	University of Nottingham	Research only	All	Other	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007154	University of Nottingham	Research only	All	Other	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007154	University of Nottingham	Research only	All	Other	2019/20	Contract salary ≥ £61,618	0	Band_6
10007154	University of Nottingham	Research only	All	Other	2019/20	Total	0	NA
10007154	University of Nottingham	Research only	Other contract level	Other	2019/20	Contract salary < £19,202	0	Band_1
10007154	University of Nottingham	Research only	Other contract level	Other	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007154	University of Nottingham	Research only	Other contract level	Other	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007154	University of Nottingham	Research only	Other contract level	Other	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007154	University of Nottingham	Research only	Other contract level	Other	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007154	University of Nottingham	Research only	Other contract level	Other	2019/20	Contract salary ≥ £61,618	0	Band_6
10007154	University of Nottingham	Research only	Other contract level	Other	2019/20	Total	0	NA
10007154	University of Nottingham	Teaching only	All	Other	2019/20	Contract salary < £19,202	0	Band_1
10007154	University of Nottingham	Teaching only	All	Other	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007154	University of Nottingham	Teaching only	All	Other	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007154	University of Nottingham	Teaching only	All	Other	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007154	University of Nottingham	Teaching only	All	Other	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007154	University of Nottingham	Teaching only	All	Other	2019/20	Contract salary ≥ £61,618	0	Band_6
10007154	University of Nottingham	Teaching only	All	Other	2019/20	Total	0	NA
10007154	University of Nottingham	Teaching only	Other contract level	Other	2019/20	Contract salary < £19,202	0	Band_1
10007154	University of Nottingham	Teaching only	Other contract level	Other	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007154	University of Nottingham	Teaching only	Other contract level	Other	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007154	University of Nottingham	Teaching only	Other contract level	Other	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007154	University of Nottingham	Teaching only	Other contract level	Other	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007154	University of Nottingham	Teaching only	Other contract level	Other	2019/20	Contract salary ≥ £61,618	0	Band_6
10007154	University of Nottingham	Teaching only	Other contract level	Other	2019/20	Total	0	NA
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	10	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	50	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	120	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2019/20	Contract salary ≥ £61,618	155	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2019/20	Total	330	NA
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2019/20	Total	0	NA
10007774	The University of Oxford	Research only	Other contract level	Female	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	415	Band_3
10007774	The University of Oxford	Research only	Other contract level	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	985	Band_4
10007774	The University of Oxford	Research only	Other contract level	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	290	Band_5
10007774	The University of Oxford	Research only	Other contract level	Female	2019/20	Contract salary ≥ £61,618	55	Band_6
10007774	The University of Oxford	Research only	Other contract level	Female	2019/20	Total	1745	NA
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	5	Band_3
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	20	Band_4
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	5	Band_5
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Teaching only	Other contract level	Female	2019/20	Total	30	NA
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2019/20	Contract salary ≥ £61,618	35	Band_6
10007774	The University of Oxford	Both teaching and research	Other senior academic	Female	2019/20	Total	35	NA
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Female	2019/20	Total	0	NA
10007774	The University of Oxford	Research only	Other senior academic	Female	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Other senior academic	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Other senior academic	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Research only	Other senior academic	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Research only	Other senior academic	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	5	Band_5
10007774	The University of Oxford	Research only	Other senior academic	Female	2019/20	Contract salary ≥ £61,618	25	Band_6
10007774	The University of Oxford	Research only	Other senior academic	Female	2019/20	Total	30	NA
10007774	The University of Oxford	Both teaching and research	Professor	Female	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Professor	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Professor	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Both teaching and research	Professor	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Both teaching and research	Professor	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Both teaching and research	Professor	Female	2019/20	Contract salary ≥ £61,618	175	Band_6
10007774	The University of Oxford	Both teaching and research	Professor	Female	2019/20	Total	175	NA
10007774	The University of Oxford	Research only	Professor	Female	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Professor	Female	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Professor	Female	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Research only	Professor	Female	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Research only	Professor	Female	2019/20	Contract salary ≥ £45,892 and < £61,618	5	Band_5
10007774	The University of Oxford	Research only	Professor	Female	2019/20	Contract salary ≥ £61,618	50	Band_6
10007774	The University of Oxford	Research only	Professor	Female	2019/20	Total	60	NA
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	5	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	65	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	175	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Contract salary ≥ £61,618	315	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	Male	2019/20	Total	560	NA
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	410	Band_3
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	1260	Band_4
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	375	Band_5
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Contract salary ≥ £61,618	110	Band_6
10007774	The University of Oxford	Research only	Other contract level	Male	2019/20	Total	2155	NA
10007774	The University of Oxford	Teaching only	Other contract level	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Teaching only	Other contract level	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Teaching only	Other contract level	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	5	Band_3
10007774	The University of Oxford	Teaching only	Other contract level	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	20	Band_4
10007774	The University of Oxford	Teaching only	Other contract level	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	15	Band_5
10007774	The University of Oxford	Teaching only	Other contract level	Male	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Teaching only	Other contract level	Male	2019/20	Total	40	NA
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Contract salary ≥ £61,618	100	Band_6
10007774	The University of Oxford	Both teaching and research	Other senior academic	Male	2019/20	Total	100	NA
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Contract salary ≥ £61,618	5	Band_6
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	Male	2019/20	Total	5	NA
10007774	The University of Oxford	Research only	Other senior academic	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Other senior academic	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Other senior academic	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Research only	Other senior academic	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Research only	Other senior academic	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	10	Band_5
10007774	The University of Oxford	Research only	Other senior academic	Male	2019/20	Contract salary ≥ £61,618	45	Band_6
10007774	The University of Oxford	Research only	Other senior academic	Male	2019/20	Total	55	NA
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	5	Band_5
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Contract salary ≥ £61,618	550	Band_6
10007774	The University of Oxford	Both teaching and research	Professor	Male	2019/20	Total	555	NA
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Neither teaching nor research	Professor	Male	2019/20	Total	0	NA
10007774	The University of Oxford	Research only	Professor	Male	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Professor	Male	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Professor	Male	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Research only	Professor	Male	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Research only	Professor	Male	2019/20	Contract salary ≥ £45,892 and < £61,618	10	Band_5
10007774	The University of Oxford	Research only	Professor	Male	2019/20	Contract salary ≥ £61,618	130	Band_6
10007774	The University of Oxford	Research only	Professor	Male	2019/20	Total	140	NA
10007774	The University of Oxford	Both teaching and research	Other contract level	Other	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	Other	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	Other	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	Other	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	Other	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	Other	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	Other	2019/20	Total	0	NA
10007774	The University of Oxford	Research only	Other contract level	Other	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	Other	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	Other	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Research only	Other contract level	Other	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Research only	Other contract level	Other	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Research only	Other contract level	Other	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Research only	Other contract level	Other	2019/20	Total	0	NA
10007774	The University of Oxford	Teaching only	Other contract level	Other	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Teaching only	Other contract level	Other	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Teaching only	Other contract level	Other	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Teaching only	Other contract level	Other	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Teaching only	Other contract level	Other	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Teaching only	Other contract level	Other	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Teaching only	Other contract level	Other	2019/20	Total	0	NA
10007774	The University of Oxford	Both teaching and research	Professor	Other	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Professor	Other	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Professor	Other	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Both teaching and research	Professor	Other	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Both teaching and research	Professor	Other	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Both teaching and research	Professor	Other	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Both teaching and research	Professor	Other	2019/20	Total	0	NA
10007774	The University of Oxford	Both teaching and research	Other contract level	All	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	All	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	All	2019/20	Contract salary ≥ £25,482 and < £34,189	15	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	All	2019/20	Contract salary ≥ £34,189 and < £45,892	115	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	All	2019/20	Contract salary ≥ £45,892 and < £61,618	295	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	All	2019/20	Contract salary ≥ £61,618	465	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	All	2019/20	Total	890	NA
10007774	The University of Oxford	Both teaching and research	Other senior academic	All	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other senior academic	All	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other senior academic	All	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Both teaching and research	Other senior academic	All	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Both teaching and research	Other senior academic	All	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Both teaching and research	Other senior academic	All	2019/20	Contract salary ≥ £61,618	135	Band_6
10007774	The University of Oxford	Both teaching and research	Other senior academic	All	2019/20	Total	135	NA
10007774	The University of Oxford	Both teaching and research	Professor	All	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Both teaching and research	Professor	All	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Both teaching and research	Professor	All	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Both teaching and research	Professor	All	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Both teaching and research	Professor	All	2019/20	Contract salary ≥ £45,892 and < £61,618	5	Band_5
10007774	The University of Oxford	Both teaching and research	Professor	All	2019/20	Contract salary ≥ £61,618	720	Band_6
10007774	The University of Oxford	Both teaching and research	Professor	All	2019/20	Total	730	NA
10007774	The University of Oxford	Neither teaching nor research	Other contract level	All	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Other contract level	All	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Other contract level	All	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Other contract level	All	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Other contract level	All	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Other contract level	All	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Neither teaching nor research	Other contract level	All	2019/20	Total	0	NA
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	All	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	All	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	All	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	All	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	All	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	All	2019/20	Contract salary ≥ £61,618	5	Band_6
10007774	The University of Oxford	Neither teaching nor research	Other senior academic	All	2019/20	Total	5	NA
10007774	The University of Oxford	Neither teaching nor research	Professor	All	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Professor	All	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Professor	All	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Professor	All	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Professor	All	2019/20	Contract salary ≥ £45,892 and < £61,618	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Professor	All	2019/20	Contract salary ≥ £61,618	0	Band_6
10007774	The University of Oxford	Neither teaching nor research	Professor	All	2019/20	Total	0	NA
10007774	The University of Oxford	Research only	Other contract level	All	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	All	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	All	2019/20	Contract salary ≥ £25,482 and < £34,189	825	Band_3
10007774	The University of Oxford	Research only	Other contract level	All	2019/20	Contract salary ≥ £34,189 and < £45,892	2245	Band_4
10007774	The University of Oxford	Research only	Other contract level	All	2019/20	Contract salary ≥ £45,892 and < £61,618	670	Band_5
10007774	The University of Oxford	Research only	Other contract level	All	2019/20	Contract salary ≥ £61,618	170	Band_6
10007774	The University of Oxford	Research only	Other contract level	All	2019/20	Total	3905	NA
10007774	The University of Oxford	Research only	Other senior academic	All	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Other senior academic	All	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Other senior academic	All	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Research only	Other senior academic	All	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Research only	Other senior academic	All	2019/20	Contract salary ≥ £45,892 and < £61,618	15	Band_5
10007774	The University of Oxford	Research only	Other senior academic	All	2019/20	Contract salary ≥ £61,618	70	Band_6
10007774	The University of Oxford	Research only	Other senior academic	All	2019/20	Total	85	NA
10007774	The University of Oxford	Research only	Professor	All	2019/20	Contract salary < £19,202	0	Band_1
10007774	The University of Oxford	Research only	Professor	All	2019/20	Contract salary ≥ £19,202 and < £25,482	0	Band_2
10007774	The University of Oxford	Research only	Professor	All	2019/20	Contract salary ≥ £25,482 and < £34,189	0	Band_3
10007774	The University of Oxford	Research only	Professor	All	2019/20	Contract salary ≥ £34,189 and < £45,892	0	Band_4
10007774	The University of Oxford	Research only	Professor	All	2019/20	Contract salary ≥ £45,892 and < £61,618	15	Band_5
10007774	The University of Oxford	Research only	Professor	All	2019/20	Contract salary ≥ £61,618	180	Band_6
10007774	The University of Oxford	Research only	Professor	All	2019/20	Total	200	NA
10007774	The University of Oxford	Teaching only	Other contract level	All	2019/20	Contract salary < £19,202	0	Band_1
