UKPRN	HE_Provider	Academic_employment_function	Contract_levels	Sex	Academic_Year	Contract_salary	Number	Salary_Band
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2014/15	Contract salary < £18,031	0	Band_1
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2014/15	Contract salary ≥ £18,031 and < £24,057	0	Band_2
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2014/15	Contract salary ≥ £24,057 and < £32,277	5	Band_3
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2014/15	Contract salary ≥ £32,277 and < £43,325	50	Band_4
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2014/15	Contract salary ≥ £43,325 and < £58,172	90	Band_5
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2014/15	Contract salary ≥ £58,172	130	Band_6
10007774	The University of Oxford	Both teaching and research	Other contract level	Female	2014/15	Total	275	NA
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2014/15	Contract salary < £18,031	0	Band_1
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2014/15	Contract salary ≥ £18,031 and < £24,057	0	Band_2
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2014/15	Contract salary ≥ £24,057 and < £32,277	0	Band_3
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2014/15	Contract salary ≥ £32,277 and < £43,325	0	Band_4
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2014/15	Contract salary ≥ £43,325 and < £58,172	0	Band_5
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2014/15	Contract salary ≥ £58,172	0	Band_6
10007774	The University of Oxford	Neither teaching nor research	Other contract level	Female	2014/15	Total	5	NA
10007774	The University of Oxford	Research only	Other contract level	Female	2014/15	Contract salary < £18,031	0	Band_1
10007774	The University of Oxford	Research only	Other contract level	Female	2014/15	Contract salary ≥ £18,031 and < £24,057	0	Band_2
10007774	The University of Oxford	Research only	Other contract level	Female	2014/15	Contract salary ≥ £24,057 and < £32,277	445	Band_3
10007774	The University of Oxford	Research only	Other contract level	Female	2014/15	Contract salary ≥ £32,277 and < £43,325	1030	Band_4
